Inspection_ID,Establishment_ID,Name,Inspection_Date,Inspection_Type,Inspector_ID,Priority_Violations,Foundation_Violations,Core_Violations,Total_Corrected_Priority___Foun,In_Compliance,ObjectId
37343,4209,Enjoy In & Out Southern Cooking,2016/12/05 00:00:00+00,Complaint,127,0,1,0,,Yes,8266
37548,3200,Big City Grille,2016/12/02 00:00:00+00,Routine Inspection,124,3,5,4,,Yes,8267
37345,4808,Checker's,2016/12/02 00:00:00+00,Routine Inspection,127,2,1,2,,Yes,8268
37288,4122,City Wings,2016/12/02 00:00:00+00,Routine Inspection,87,0,1,1,,Yes,8269
37312,296,Da Edoardo Foxtown Grille,2016/12/02 00:00:00+00,Routine Inspection,124,1,2,2,,Yes,8270
37346,3887,Happy's Pizza #44,2016/12/02 00:00:00+00,Routine Inspection,127,3,4,2,,Yes,8271
37508,2023,La Sierra,2016/12/02 00:00:00+00,Routine Inspection,83,0,2,0,,No,8272
37286,4615,Buffalo Wild Wings,2016/12/01 00:00:00+00,Routine Inspection,129,1,2,3,,Yes,8273
37309,407,Casey's Pub d/b/a The Red Corridor,2016/12/01 00:00:00+00,Routine Inspection,87,0,0,3,,Yes,8274
37287,2728,Hard Rock Cafe,2016/12/01 00:00:00+00,Routine Inspection,129,0,1,3,,Yes,8275
37282,3745,Mercury Burger Bar,2016/12/01 00:00:00+00,Routine Inspection,87,1,0,0,,Yes,8276
37269,462,Big Mike Coney Island Inc.,2016/11/30 00:00:00+00,Routine Inspection,87,0,0,5,,Yes,8277
37285,4844,Centre Park Restaurant,2016/11/30 00:00:00+00,Routine Inspection,129,2,5,10,,Yes,8278
37748,657,IHOP #01284,2017/01/24 00:00:00+00,Routine Inspection,87,0,0,5,,Yes,8279
37958,1572,"Buddy's West, Inc",2017/02/08 00:00:00+00,Routine Inspection,87,0,0,3,,Yes,8280
37845,1500,Taqueria El Rey,2017/01/31 00:00:00+00,Routine Inspection,128,2,2,2,,Yes,8281
37844,2312,Taqueria La Salsa Mexican Cuisine,2017/01/31 00:00:00+00,Routine Inspection,128,1,2,1,,Yes,8282
37875,1801,Wendy's ,2017/01/31 00:00:00+00,Routine Inspection,112,1,4,0,,Yes,8283
37842,2664,Wendy's Old Fashioned Hamburgers #8633,2017/01/31 00:00:00+00,Routine Inspection,130,1,0,1,,Yes,8284
37826,4629,Athens Souvlaki ,2017/01/30 00:00:00+00,Routine Inspection,124,2,9,9,,Yes,8285
37835,2266,Dish,2017/01/30 00:00:00+00,Routine Inspection,87,1,0,4,,No,8286
37823,5179,Original T & J Coney Island,2017/01/30 00:00:00+00,Routine Inspection,130,2,3,3,,No,8287
37834,2676,Texas Bar and Grill,2017/01/30 00:00:00+00,Routine Inspection,87,1,0,2,,Yes,8288
37809,5140,Basement Burger Bar,2017/01/27 00:00:00+00,Routine Inspection,129,3,2,2,,Yes,8289
37816,1052,Blue Diamond,2017/01/27 00:00:00+00,Routine Inspection,128,0,2,1,,No,8290
37793,5378,Bobcat Bonnies,2017/01/27 00:00:00+00,Routine Inspection,83,7,1,7,,No,8291
37788,5398,Captain Jay's #102,2017/01/27 00:00:00+00,Plan Review/Pre-Open,80,0,0,4,,Yes,8292
37817,1452,El Palenque,2017/01/27 00:00:00+00,Routine Inspection,128,0,2,1,,Yes,8293
37827,1730,Great Panda Garden Chinese Restaurant,2017/01/27 00:00:00+00,Routine Inspection,128,2,1,0,,Yes,8294
37814,956,La Chambre Lounge  (Fire Damage),2017/01/27 00:00:00+00,Routine Inspection,127,1,2,0,,Yes,8295
37778,4792,Las Palmas Neveria Y Cafeteria,2017/01/27 00:00:00+00,Routine Inspection,128,0,1,0,,No,8296
37811,1104,Maison Fine Food Inc.,2017/01/27 00:00:00+00,Routine Inspection,87,0,0,2,,Yes,8297
37893,1409,Manna Meals,2017/01/27 00:00:00+00,Routine Inspection,124,2,0,0,,Yes,8298
37820,1704,Museum of African American History,2017/01/27 00:00:00+00,Routine Inspection,87,0,1,3,,Yes,8299
37766,2497,8330 on the River,2017/01/26 00:00:00+00,Routine Inspection,87,0,0,2,,Yes,8300
37862,300,Billy's Coney Island,2017/01/26 00:00:00+00,Routine Inspection,112,0,0,4,,Yes,8301
39241,300,Billy's Coney Island,2017/01/26 00:00:00+00,Routine Inspection,112,0,0,1,,Yes,8302
37780,3076,Blue Cross Blue Shield,2017/01/26 00:00:00+00,Routine Inspection,129,1,0,1,,Yes,8303
37825,3966,Bookies Bar and Grille,2017/01/26 00:00:00+00,Routine Inspection,124,2,1,4,,Yes,8304
37791,3321,Brenda Scott Middle School,2017/01/26 00:00:00+00,Routine Inspection,126,0,0,2,,Yes,8305
37843,2675,Brooklyn Street Local,2017/01/26 00:00:00+00,Routine Inspection,127,2,1,0,,Yes,8306
37807,5061,Cafe' 78,2017/01/26 00:00:00+00,Routine Inspection,114,1,5,5,,Yes,8307
37783,4305,Club Armane,2017/01/26 00:00:00+00,Routine Inspection,126,0,1,2,,No,8308
37781,2614,Detroit Beer Co.,2017/01/26 00:00:00+00,Routine Inspection,129,2,1,4,,Yes,8309
37810,4984,Four Seasons Catering LLC,2017/01/26 00:00:00+00,Routine Inspection,87,0,1,2,,Yes,8310
37772,1738,Genesis House III (WEST),2017/01/26 00:00:00+00,Routine Inspection,127,2,2,0,,No,8311
37792,2308,George's Famous Coney Island,2017/01/26 00:00:00+00,Routine Inspection,83,0,1,7,,Yes,8312
37767,1051,Kentucky Fried Chicken H730215,2017/01/26 00:00:00+00,Complaint,83,0,0,1,,Yes,8313
37808,2779,Louie's Ham & Corned Beef,2017/01/26 00:00:00+00,Routine Inspection,114,2,1,0,,Yes,8314
37786,5249,Motown Cafe Grill,2017/01/26 00:00:00+00,Routine Inspection,126,1,1,1,,Yes,8315
37818,1278,Onasis Coney Island ,2017/01/26 00:00:00+00,Routine Inspection,127,3,3,2,,Yes,8316
37865,1515,"Pizzaplace Dearborn, Inc",2017/01/26 00:00:00+00,Routine Inspection,112,0,2,2,,Yes,8317
38052,4627,Starbucks Blue Cross Blue Shield,2017/01/26 00:00:00+00,Routine Inspection,129,1,0,0,,Yes,8318
37782,2216,Sweetwater Tavern,2017/01/26 00:00:00+00,Routine Inspection,129,1,1,6,,Yes,8319
37777,815,Abicks Bar,2017/01/25 00:00:00+00,Routine Inspection,128,0,0,1,,Yes,8320
37848,4206,Joe Louis Arena- Concessions,2017/01/25 00:00:00+00,Routine Inspection,127,0,1,1,,Yes,8321
37804,1460,Joe's Deli (Birmingham Deli),2017/01/24 00:00:00+00,Routine Inspection,114,0,1,3,,Yes,8322
37861,878,John's Grill Coney Island,2017/01/24 00:00:00+00,Routine Inspection,112,0,0,4,,Yes,8323
37755,5094,Peterboro,2017/01/24 00:00:00+00,Routine Inspection,114,3,1,2,,Yes,8324
37892,1640,University of Detroit Dental School,2017/01/24 00:00:00+00,Routine Inspection,124,5,3,2,,Yes,8325
37729,1507,Coney King Coney Island,2017/01/23 00:00:00+00,Routine Inspection,87,0,2,0,,Yes,8326
37744,2764,Little Caesar's Pizza #164,2017/01/23 00:00:00+00,Routine Inspection,87,0,1,1,,Yes,8327
37771,1386,Los Galanes,2017/01/23 00:00:00+00,Routine Inspection,128,2,1,2,,No,8328
37824,2280,Mary's Grille,2017/01/23 00:00:00+00,Routine Inspection,112,0,0,3,,Yes,8329
37815,5362,McDonald's,2017/01/23 00:00:00+00,Routine Inspection,112,0,2,0,,Yes,8330
37890,2075,McDonald's,2017/01/23 00:00:00+00,Routine Inspection,124,3,1,4,,Yes,8331
37966,3865,Monte Bello Pizzeria,2017/01/23 00:00:00+00,Routine Inspection,127,3,1,2,,No,8332
37734,3647,Pollo Chapin,2017/01/23 00:00:00+00,Routine Inspection,128,0,1,0,,Yes,8333
37803,5170,Subway #34129,2017/01/21 00:00:00+00,Complaint,114,0,0,1,,Yes,8334
37740,3198,Angel's Place,2017/01/20 00:00:00+00,Routine Inspection,127,0,1,0,,Yes,8335
37737,523,Chapeau Vert Lounge,2017/01/20 00:00:00+00,Routine Inspection,127,1,0,1,,No,8336
37770,2224,El Asador,2017/01/20 00:00:00+00,Routine Inspection,128,1,0,1,,Yes,8337
37768,4280,El Durango Bar,2017/01/20 00:00:00+00,Routine Inspection,128,0,0,1,,Yes,8338
37801,4173,Hastings Street Ballroom & DBA Tangent G,2017/01/20 00:00:00+00,Routine Inspection,114,1,0,0,,Yes,8339
37731,5129,The Marble Bar,2017/01/20 00:00:00+00,Routine Inspection,87,0,1,1,,Yes,8340
37716,5336,Briggs Detroit,2017/01/19 00:00:00+00,Routine Inspection,129,0,1,3,,Yes,8341
37736,4781,Bucharest Grill,2017/01/19 00:00:00+00,Routine Inspection,124,2,2,3,,Yes,8342
37800,3895,Butcher's Inn,2017/01/19 00:00:00+00,Routine Inspection,114,1,0,2,,Yes,8343
37758,432,Cardoni's Bar & Grill,2017/01/19 00:00:00+00,Routine Inspection,112,1,0,3,,Yes,8344
37730,3443,El Barzon Restaurante,2017/01/19 00:00:00+00,Routine Inspection,128,2,0,1,,Yes,8345
37739,286,Jerry's Pizza & B-B-Q Inc.,2017/01/19 00:00:00+00,Routine Inspection,127,3,3,4,,No,8346
37738,286,Jerry's Pizza & B-B-Q Inc.,2017/01/19 00:00:00+00,Complaint,127,0,0,4,,Yes,8347
37757,5074,OZZIES,2017/01/19 00:00:00+00,Routine Inspection,112,0,0,2,,Yes,8348
37726,1304,Popeye's Chicken & Biscuits,2017/01/19 00:00:00+00,Routine Inspection,130,1,0,2,,No,8349
37752,2579,Subway #29018,2017/01/19 00:00:00+00,Routine Inspection,112,1,3,0,,Yes,8350
37735,2473,Universal Coney Island,2017/01/19 00:00:00+00,Routine Inspection,128,2,3,0,,No,8351
37891,4418,Blue Fish and Chicken,2017/01/18 00:00:00+00,Routine Inspection,124,0,1,1,,Yes,8352
37679,5011,Chartreuse Kitchen & Cocktails,2017/01/18 00:00:00+00,Routine Inspection,114,4,1,0,,No,8353
37750,5389,Daily Catch Fish & Chicken,2017/01/18 00:00:00+00,Routine Inspection,126,0,0,3,,Yes,8354
37715,4106,Detroit Seafood Market,2017/01/18 00:00:00+00,Routine Inspection,129,3,1,9,,Yes,8355
37680,3609,Fresh Market and Grill,2017/01/18 00:00:00+00,Routine Inspection,114,0,0,3,,Yes,8356
37653,4885,New Center Community Health,2017/01/18 00:00:00+00,Routine Inspection,83,1,0,3,,Yes,8357
38027,4323,Captain Jay's Fish & Chicken #104,2017/02/08 00:00:00+00,Routine Inspection,112,0,4,4,,Yes,8358
38298,1160,Caribbean Citchen,2017/02/08 00:00:00+00,Routine Inspection,130,0,1,1,,No,8359
37938,2717,Checkers ,2017/02/08 00:00:00+00,Routine Inspection,127,1,1,0,,Yes,8360
37965,1581,Club Jovonnes,2017/02/08 00:00:00+00,Routine Inspection,112,0,1,2,,Yes,8361
37952,4957,Cornerstone Barrel House,2017/02/08 00:00:00+00,Routine Inspection,129,3,0,7,,Yes,8362
37957,5172,Danny's Diner,2017/02/08 00:00:00+00,Routine Inspection,87,0,0,1,,Yes,8363
37982,210,Domino's Pizza #1169,2017/02/08 00:00:00+00,Routine Inspection,126,0,0,1,,Yes,8364
37950,1958,Hollywood Coney Island,2017/02/08 00:00:00+00,Routine Inspection,127,2,2,0,,Yes,8365
37942,2816,J J's Fish and Chicken,2017/02/08 00:00:00+00,Routine Inspection,127,1,1,0,,Yes,8366
37983,1350,Kentucky Fried Chicken,2017/02/08 00:00:00+00,Routine Inspection,126,0,0,4,,Yes,8367
38007,1081,Kentucky Fried Chicken ,2017/02/08 00:00:00+00,Routine Inspection,130,1,1,0,,No,8368
37940,5070,Mi Lindo Sanblas,2017/02/08 00:00:00+00,Routine Inspection,128,2,1,4,,Yes,8369
37981,4496,Motown Coney Island,2017/02/08 00:00:00+00,Routine Inspection,126,1,1,4,,No,8370
37985,1381,Mr. Steve's Pizza,2017/02/08 00:00:00+00,Routine Inspection,112,1,0,1,,No,8371
37948,2616,New Center-Rice Bowl,2017/02/08 00:00:00+00,Routine Inspection,114,1,0,4,,Yes,8372
37944,5160,Olympia Coney Island,2017/02/08 00:00:00+00,Routine Inspection,127,1,0,0,,Yes,8373
37949,2392,Royal Grill,2017/02/08 00:00:00+00,Routine Inspection,114,9,5,5,,Yes,8374
37927,4076,Subway,2017/02/08 00:00:00+00,Routine Inspection,124,2,4,2,,Yes,8375
37943,3926,Taqueria Camino Real,2017/02/08 00:00:00+00,Routine Inspection,128,0,1,2,,Yes,8376
37947,4408,The Great Lakes Coffee Roasting Co.,2017/02/08 00:00:00+00,Routine Inspection,114,2,3,1,,Yes,8377
37936,2242,Tim Hortons,2017/02/08 00:00:00+00,Routine Inspection,87,0,0,1,,Yes,8378
37937,3905,WBC Coffee Bar,2017/02/08 00:00:00+00,Routine Inspection,124,1,2,1,,Yes,8379
37954,3706,Angelina Italian Bistro,2017/02/07 00:00:00+00,Routine Inspection,129,1,1,4,,Yes,8380
37926,5426,Asty Time Inc.,2017/02/07 00:00:00+00,Preopening/Other,83,0,1,0,,No,8381
37933,225,Renaissance Bowling Center,2017/02/07 00:00:00+00,Routine Inspection,87,0,1,2,,Yes,8382
37934,3184,Trolley's,2017/02/07 00:00:00+00,Routine Inspection,87,0,1,3,,Yes,8383
37914,353,Aurora Coney Island,2017/02/06 00:00:00+00,Routine Inspection,127,3,5,0,,No,8384
37894,5088,Central Bar & Grill LLC,2017/02/06 00:00:00+00,Routine Inspection,129,2,0,4,,Yes,8385
38213,1139,Church's Fried Chicken #648,2017/02/06 00:00:00+00,Routine Inspection,126,1,0,3,,No,8386
37911,1267,Church's Fried Chicken #991,2017/02/06 00:00:00+00,Routine Inspection,127,2,1,0,,Yes,8387
37895,449,Clique Restaurant,2017/02/06 00:00:00+00,Routine Inspection,129,4,1,2,,Yes,8388
37887,722,Club Celebrity,2017/02/06 00:00:00+00,Routine Inspection,112,2,0,1,,Yes,8389
37984,2947,Coliseum,2017/02/06 00:00:00+00,Routine Inspection,126,1,1,2,,Yes,8390
37929,5319,Cranks,2017/02/06 00:00:00+00,Routine Inspection,87,1,1,2,,Yes,8391
37912,1377,Dynamo Corned Beef Deli,2017/02/06 00:00:00+00,Routine Inspection,127,1,0,0,,Yes,8392
37945,1147,El Rancho Mexican Restaurant,2017/02/06 00:00:00+00,Routine Inspection,128,0,2,0,,No,8393
37905,4956,Falafill,2017/02/06 00:00:00+00,Routine Inspection,114,3,7,8,,Yes,8394
37978,337,Happy's Pizza #2,2017/02/06 00:00:00+00,Routine Inspection,126,0,2,2,,Yes,8395
37888,2454,Happy's Pizza #6,2017/02/06 00:00:00+00,Routine Inspection,112,0,3,1,,Yes,8396
38063,1645,Henry Ford Hospital Cafeteria,2017/02/06 00:00:00+00,Routine Inspection,130,3,1,0,,Yes,8397
37886,5176,Mary's Grill #2,2017/02/06 00:00:00+00,Routine Inspection,112,0,1,1,,Yes,8398
37906,5036,Maya's Indo-Pak Cuisine,2017/02/06 00:00:00+00,Routine Inspection,114,1,2,1,,Yes,8399
37904,457,Roma Cafe Inc,2017/02/06 00:00:00+00,Routine Inspection,114,2,5,4,,Yes,8400
36876,3737,Fisher Middle School (Upper),2016/10/18 00:00:00+00,Routine Inspection,126,0,0,2,,Yes,8401
36854,1167,Fleming Elementary,2016/10/18 00:00:00+00,Routine Inspection,126,0,0,1,,Yes,8402
37010,1413,Lady Louisa's Place,2016/10/18 00:00:00+00,Complaint,127,0,0,1,,Yes,8403
36855,940,Osborn Senior High School,2016/10/18 00:00:00+00,Routine Inspection,126,0,0,1,,Yes,8404
36847,1459,Rob's Deli,2016/10/18 00:00:00+00,Routine Inspection,87,1,2,4,,Yes,8405
36962,5138,Sukhothai DMC,2016/10/18 00:00:00+00,Routine Inspection,114,2,1,2,,Yes,8406
36838,1531,TJ's Grill Works Inc,2016/10/18 00:00:00+00,Routine Inspection,129,3,7,7,,Yes,8407
36863,1584,U Of D Jesuit High School,2016/10/18 00:00:00+00,Routine Inspection,130,1,0,4,,Yes,8408
36822,4610,Captain Jay's Fish & Chicken #110,2016/10/17 00:00:00+00,Routine Inspection,127,0,3,4,,Yes,8409
36851,511,Champagnes Steak and Soul,2016/10/17 00:00:00+00,Routine Inspection,126,1,0,0,,Yes,8410
36839,4833,GFFD Community Center Northwest,2016/10/17 00:00:00+00,Routine Inspection,112,0,1,0,,No,8411
36873,1073,Hong Moy,2016/10/17 00:00:00+00,Routine Inspection,126,0,1,2,,Yes,8412
36860,5239,Paradise Fish & Chicken Market,2016/10/17 00:00:00+00,Routine Inspection,130,0,1,1,,Yes,8413
36816,1616,River Breeze Dairy,2016/10/17 00:00:00+00,Routine Inspection,87,0,0,2,,Yes,8414
36887,4262,Ford Field- Beer/Bar Portables,2016/10/16 00:00:00+00,Routine Inspection,129,2,2,3,,Yes,8415
36831,4261,Ford Field- Food Portables,2016/10/16 00:00:00+00,Routine Inspection,87,3,4,5,,Yes,8416
36832,4258,Ford Field- Second Floor Concessions,2016/10/16 00:00:00+00,Routine Inspection,87,2,1,9,,Yes,8417
36928,4259,Ford Field- Third Floor Concessions,2016/10/16 00:00:00+00,Routine Inspection,124,5,6,3,,Yes,8418
36823,5269,Habibi Fish & Chicken,2016/10/14 00:00:00+00,Routine Inspection,127,0,4,1,,Yes,8419
36875,700,La Dolce Vita,2016/10/14 00:00:00+00,Routine Inspection,87,1,0,4,,Yes,8420
37078,5202,Rock City Eatery,2016/10/14 00:00:00+00,Routine Inspection,128,0,1,1,,Yes,8421
36957,501,Vivio's Market Center Club,2016/10/14 00:00:00+00,Routine Inspection,114,1,2,1,,Yes,8422
36821,5307,Black Orchid dba Dolla Bills Gentleman C,2016/10/13 00:00:00+00,Routine Inspection,112,1,2,2,,No,8423
36817,902,Frank Murphy Performance Academy ,2016/10/13 00:00:00+00,Routine Inspection,127,1,0,0,,Yes,8424
36788,5348,Hard Bodies Bar,2016/10/13 00:00:00+00,Preopening/New,122,0,0,8,,Yes,8425
36813,867,Henry Ford High School,2016/10/13 00:00:00+00,Routine Inspection,127,1,0,1,,Yes,8426
36789,436,Jumbo's Bar,2016/10/13 00:00:00+00,Routine Inspection,87,0,0,2,,Yes,8427
36820,1106,Music Hall Center,2016/10/13 00:00:00+00,Routine Inspection,121,1,4,2,,Yes,8428
36814,3821,Shabazz East Restaurant,2016/10/13 00:00:00+00,Routine Inspection,87,0,0,5,,Yes,8429
36981,4901,Stache International,2016/10/13 00:00:00+00,Routine Inspection,114,0,0,1,,Yes,8430
36795,526,Vicki's Bar-B-Que,2016/10/13 00:00:00+00,Routine Inspection,124,2,1,1,,Yes,8431
36796,3928,1917 American Bistro,2016/10/12 00:00:00+00,Routine Inspection,130,2,0,0,,Yes,8432
36798,3199,Detroit Fish & Shrimp III,2016/10/12 00:00:00+00,Routine Inspection,130,0,1,0,,Yes,8433
36776,2317,Detroit Merit Academy,2016/10/12 00:00:00+00,Routine Inspection,87,1,0,1,,Yes,8434
36792,5294,"Eleo's Ministries, Inc.",2016/10/12 00:00:00+00,Routine Inspection,124,0,0,1,,Yes,8435
36633,944,Priest Elementary,2016/10/04 00:00:00+00,Routine Inspection,124,1,0,0,,Yes,8436
37182,1359,Burger King Corp #13332,2016/11/02 00:00:00+00,Routine Inspection,124,0,0,3,,Yes,8437
36819,4695,Ford Field - Blitz,2016/10/12 00:00:00+00,Routine Inspection,121,0,1,0,,Yes,8438
36777,833,Marcus Garvey,2016/10/12 00:00:00+00,Routine Inspection,87,0,0,1,,Yes,8439
36763,1337,Old Miami Bar,2016/10/12 00:00:00+00,Routine Inspection,83,0,2,1,,Yes,8440
36794,4966,Rincon Tropical,2016/10/12 00:00:00+00,Routine Inspection,124,2,4,5,,No,8441
36815,3191,Sullaf Restaurant,2016/10/12 00:00:00+00,Routine Inspection,87,0,1,7,,Yes,8442
36765,647,Zeff's Coney Island,2016/10/12 00:00:00+00,Routine Inspection,83,4,0,0,,Yes,8443
36906,2820,A Eagles Coney Island,2016/10/11 00:00:00+00,Routine Inspection,124,4,0,2,,Yes,8444
36775,777,Curis Big Boy Restaurant,2016/10/11 00:00:00+00,Routine Inspection,87,0,1,6,,Yes,8445
