number_of_lanes,fatal_count,young,deer,lighting,occupants,road_condition,speed_limit,hour,hit_and_run,most_severe_injury,red_light_running,weekday,highway_classification,crash_type,weather,alcohol,drug
4,0,0,0,1,1,3,70,10,0,5,0,6,1,8,2,0,0
4,0,1,0,1,2,3,70,8,1,5,0,7,1,10,5,0,0
4,0,0,0,1,8,4,70,15,0,5,0,1,1,10,5,0,0
4,0,1,0,1,3,4,55,8,0,4,0,3,1,5,2,0,0
2,0,1,0,4,7,1,55,19,0,5,0,4,1,5,1,0,0
3,0,1,0,1,3,1,55,14,0,4,0,3,1,5,1,0,0
1,0,0,0,1,1,4,25,11,0,5,0,5,1,4,2,0,0
3,0,0,0,4,3,3,55,20,0,5,0,5,9,8,5,0,0
2,0,0,0,1,2,1,30,7,0,4,0,3,9,10,1,0,0
2,0,0,0,1,3,1,25,16,0,2,0,1,9,1,1,0,0
3,0,1,0,1,1,2,55,11,0,5,0,7,3,1,2,0,0
2,0,0,0,1,1,2,30,11,1,5,0,5,9,4,2,0,0
3,0,1,0,4,2,4,55,22,0,5,0,3,3,8,5,0,0
4,0,0,0,1,2,4,40,17,0,5,0,6,3,5,5,0,0
4,0,1,0,1,2,4,70,14,0,5,0,5,1,4,1,0,0
3,0,1,0,1,1,2,55,8,0,3,0,7,1,1,4,1,0
3,0,1,0,1,5,4,55,16,1,5,0,2,3,8,5,0,0
4,0,1,0,1,2,1,70,10,0,5,0,2,1,8,2,0,0
3,0,0,0,3,1,1,55,17,0,5,0,1,1,1,1,0,0
0,0,1,0,1,2,4,40,15,0,5,0,3,3,8,5,0,0
1,0,0,0,4,2,4,55,18,0,5,0,4,1,1,1,0,0
3,0,0,0,4,1,4,55,21,1,5,0,2,3,5,2,0,0
4,0,0,0,1,3,1,55,14,0,4,0,6,3,5,1,0,0
3,0,0,0,1,5,1,35,17,0,5,0,1,3,5,2,0,0
2,0,1,0,1,2,2,25,9,0,5,0,5,9,8,1,0,0
3,0,0,0,1,1,2,55,8,1,3,0,2,1,10,2,0,0
3,0,0,0,1,2,2,55,17,0,5,0,6,1,5,2,0,0
3,0,1,0,4,2,1,70,21,0,4,0,6,1,5,2,0,0
4,0,0,0,4,1,1,70,17,1,5,0,3,1,5,2,0,0
3,0,0,0,2,1,4,35,7,0,5,0,5,3,1,5,0,0
3,0,1,0,1,3,2,55,11,0,4,0,3,3,5,2,0,0
3,0,0,0,1,2,6,55,15,0,5,0,4,1,8,5,0,0
4,0,1,0,1,1,2,70,8,0,5,0,3,1,1,2,0,0
5,0,1,0,4,2,1,30,20,0,5,0,2,2,1,1,0,0
4,0,0,0,4,1,6,70,2,0,4,0,7,1,1,1,0,0
2,0,0,0,5,1,2,25,5,0,5,0,4,9,9,2,0,0
4,0,0,0,1,3,2,25,15,0,5,0,2,9,5,1,0,0
4,0,1,0,4,2,6,35,17,0,3,0,6,9,2,2,0,0
1,0,0,0,1,1,1,25,5,0,5,0,2,9,4,1,0,0
3,0,1,0,4,2,4,55,23,0,5,0,7,1,1,1,0,0
4,0,0,0,4,1,3,70,20,0,5,0,5,1,1,5,0,0
3,0,1,0,4,1,2,55,3,0,5,0,2,1,1,2,0,0
4,0,0,0,1,1,4,25,15,1,5,0,3,9,9,5,0,0
4,0,1,0,4,1,3,30,17,1,5,0,6,3,4,2,0,0
